name,cell,embed,hidden,layers,parameters,max_tokens,epochs_run,threshold,validation_empirical_fpr,auc,ap,precision,recall,f1,tn,fp,fn,tp,observed_fpr
GRU-64x1,GRU,32,64,1,23666,512,8,2.495059013366699,0.05327868852459016,0.42379521305141143,0.5927739621248473,0.6666666666666666,0.08264462809917356,0.14705882352941177,72,5,111,10,0.06493506493506493
GRU-128x2,GRU,64,128,2,183218,512,8,2.3380653858184814,0.05327868852459016,0.498712031769883,0.6408632778232503,0.8181818181818182,0.0743801652892562,0.13636363636363635,75,2,112,9,0.025974025974025976
LSTM-128x2,LSTM,64,128,2,241074,512,8,2.5047531127929688,0.05327868852459016,0.47746055597295267,0.6323394823228707,0.75,0.0743801652892562,0.13533834586466165,74,3,112,9,0.03896103896103896
