prefix,training_regime,threshold,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP,FPR
10,prefix-specific features; matched TabRF hyperparameters fixed,0.04150281217816159,0.7286680261886873,0.8231329635826724,0.8133333333333334,0.5041322314049587,0.6224489795918368,63,14,60,61,0.18181818181818182
25,prefix-specific features; matched TabRF hyperparameters fixed,0.029446888390709483,0.7407427283460342,0.819673344643514,0.8289473684210527,0.5206611570247934,0.6395939086294417,64,13,58,63,0.16883116883116883
50,prefix-specific features; matched TabRF hyperparameters fixed,0.0568199629856547,0.7289900182462166,0.8451190886911868,0.8857142857142857,0.512396694214876,0.6492146596858639,69,8,59,62,0.1038961038961039
100,prefix-specific features; matched TabRF hyperparameters fixed,0.031187778499873694,0.728238703445315,0.8293996018431866,0.8,0.6611570247933884,0.7239819004524887,57,20,41,80,0.2597402597402597
250,prefix-specific features; matched TabRF hyperparameters fixed,0.036726213538154244,0.7295266716754321,0.8239469028407825,0.8160919540229885,0.5867768595041323,0.6826923076923077,61,16,50,71,0.2077922077922078
full,prefix-specific features; matched TabRF hyperparameters fixed,0.021211756485705,0.7592572716539658,0.8399884853392664,0.7614678899082569,0.6859504132231405,0.7217391304347827,51,26,38,83,0.33766233766233766
