analysis,valid_runs,skipped_runs,AUC,AP,Precision,Recall,F1,FPR
host_disjoint_median,6,4,0.5792905441665772,0.6696431929908171,0.6358173076923077,0.21487603305785125,0.3172337672223491,0.17532467532467533
host_disjoint_min,6,4,0.39427927444456373,0.6130854162390219,0.5428571428571428,0.15702479338842976,0.24358974358974358,0.025974025974025976
host_disjoint_max,6,4,0.8258559622195984,0.8854100458283974,0.971830985915493,0.5702479338842975,0.71875,0.2857142857142857
temporal_train70_val15_to_official_test,1,0,0.6563271439304497,0.7314272600920222,0.7761194029850746,0.4297520661157025,0.5531914893617021,0.19480519480519481
