prefix,threshold,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP
10,0.2130760867037598,0.4442953740474402,0.6090134761870161,0.625,0.04132231404958678,0.07751937984496124,74,3,116,5
25,0.22457720332497458,0.5552753032091875,0.6894273978456389,0.9,0.2231404958677686,0.3576158940397351,74,3,94,27
50,0.20333316043226557,0.6678115273156595,0.7997647472468203,0.85,0.2809917355371901,0.422360248447205,71,6,87,34
100,0.18897418028733948,0.6414081785982613,0.775218721327696,0.7857142857142857,0.36363636363636365,0.4971751412429379,65,12,77,44
250,0.18402443063118173,0.6571857894171944,0.7919530124012524,0.9019607843137255,0.38016528925619836,0.5348837209302325,72,5,75,46
full,0.01825414471868176,0.7359665128260169,0.8270494002338361,0.75,0.6942148760330579,0.721030042918455,49,28,37,84
