,AUC,AP,Precision,Recall,F1,FP,FN
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,0.5564380523058209,0.684543497776536,0.6325602200525654,0.24655647382920107,0.34223558748015276,14.666666666666666,91.16666666666667
std,0.14920346153490435,0.10469900470317622,0.19212885589841466,0.1775160953801837,0.20672441907571054,9.872520785831076,21.479447541002227
min,0.4095202318342814,0.605734729400278,0.3863636363636363,0.0991735537190082,0.1678321678321678,2.0,52.0
25%,0.48164645272083284,0.6319074323730898,0.5598845598845599,0.12809917355371897,0.20662878787878783,8.5,85.5
50%,0.5041053987334979,0.646597788079956,0.6197691197691197,0.18595041322314043,0.27386363636363636,13.0,98.5
75%,0.588547815820543,0.6794797964179156,0.6482213438735178,0.29338842975206614,0.394631093544137,22.75,105.5
max,0.8300418589674788,0.8908795680976552,0.971830985915493,0.5702479338842975,0.71875,27.0,109.0
