,AUC,AP,Precision,Recall,F1,FP,FN
count,7.0,7.0,7.0,7.0,7.0,7.0,7.0
mean,0.5750164829267544,0.695856188645641,0.6612420933783894,0.25265643447461633,0.3546944825202361,13.571428571428571,90.42857142857143
std,0.1448015908131628,0.10015358278378905,0.19110153512302944,0.16285096480622407,0.191569977626533,9.466733735510237,19.70496674155311
min,0.4095202318342814,0.605734729400278,0.38636363636363635,0.09917355371900827,0.16783216783216784,2.0,52.0
25%,0.48234410217881296,0.6338091114481585,0.5743145743145743,0.1322314049586777,0.2071969696969697,7.5,84.5
50%,0.5244713963722228,0.6555831065616162,0.6363636363636364,0.23140495867768596,0.3393939393939394,10.0,93.0
75%,0.6481968444778363,0.7255888467818099,0.7427536231884058,0.30165289256198347,0.4212456655108029,20.5,105.0
max,0.8300418589674788,0.8908795680976552,0.971830985915493,0.5702479338842975,0.71875,27.0,109.0
