comparison,delta_f1,delta_f1_ci95_low,delta_f1_ci95_high,delta_f1_bootstrap_p_two_sided,delta_auc,delta_auc_ci95_low,delta_auc_ci95_high,delta_ap,delta_ap_ci95_low,delta_ap_ci95_high,mcnemar_b_a_correct_b_wrong,mcnemar_c_a_wrong_b_correct,mcnemar_exact_p_two_sided
TabRF - MetaRF,0.045474487362899385,0.002654329733028721,0.09080946507213075,0.042,0.024632392400987357,-0.0044873287671233775,0.05463531166480779,0.016569649702728784,0.0023708362018395133,0.031847592342617345,16,8,0.15158963203430176
TabRF - RF-500,0.016682216831498398,-0.013838702958572735,0.04842103167251727,0.316,-0.012987012987013102,-0.031674021772358577,0.005067748036498007,-0.008128712083329104,-0.01742507500727194,0.0004082779632776596,7,4,0.548828125
RF-500 - MetaRF,0.028792270531400987,-0.009175426410309802,0.06799280240750703,0.1498,0.03761940538800046,0.012739966235031928,0.0635151980874317,0.024698361786057887,0.01200278373890747,0.0390481918721196,12,7,0.359283447265625
