,repeat,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,15.5,0.9868778338912428,0.9901783333563781,0.9525572998726862,0.9538534471082217,0.9530480147894625,306.1333333333333,15.4,14.833333333333334,306.6333333333333
std,8.803408430829505,0.005158624662843706,0.0036378871943762475,0.018311104241557248,0.014864245978393368,0.011130512883563114,6.377402634914633,6.228964600958975,4.7712019257302405,4.881233121006329
min,1.0,0.9780577001219016,0.9834448169075152,0.9166666666666666,0.9190031152647975,0.9361702127659575,293.0,2.0,6.0,295.0
25%,8.25,0.9820436911050483,0.9872926565889076,0.9380315336837076,0.9439687699541417,0.9429371210397729,302.0,10.0,12.0,303.25
50%,15.5,0.9874760550298949,0.9905848461666039,0.9515744647601188,0.9565217391304348,0.9532692139716801,306.0,15.5,14.0,308.0
75%,22.75,0.9906904858652116,0.9925801823157278,0.9679179283700532,0.9627329192546584,0.9633990010763221,311.0,20.0,18.0,310.0
max,30.0,0.9954915733054702,0.9962216220869453,0.9933993399339934,0.9813084112149533,0.9716981132075472,320.0,28.0,26.0,315.0
