name,cell,embed,hidden,layers,parameters,max_tokens,sequence_length_policy,epochs_run,threshold,validation_empirical_fpr,auc,ap,precision,recall,f1,tn,fp,fn,tp,observed_fpr
GRU-64x1,GRU,32,64,1,23666,1152,training-derived 95th percentile; long raw traces uniformly sampled in preprocessing,8,2.5308258533477783,0.05327868852459016,0.43109369968874095,0.6006818088734813,0.7142857142857143,0.08264462809917356,0.14814814814814814,73,4,111,10,0.05194805194805195
GRU-128x2,GRU,64,128,2,183218,1152,training-derived 95th percentile; long raw traces uniformly sampled in preprocessing,8,2.3862857818603516,0.05327868852459016,0.4943114736503166,0.6535336503087013,0.8181818181818182,0.0743801652892562,0.13636363636363635,75,2,112,9,0.025974025974025976
LSTM-128x2,LSTM,64,128,2,241074,1152,training-derived 95th percentile; long raw traces uniformly sampled in preprocessing,8,2.581782817840576,0.05327868852459016,0.44107545347214766,0.601060264210726,0.8181818181818182,0.0743801652892562,0.13636363636363635,75,2,112,9,0.025974025974025976
