ReferenceModel,Comparator,ThresholdPolicy,N,DeltaF1_ReferenceMinusComparator,DeltaF1_CI_low,DeltaF1_CI_high,McNemar_b_ref_correct_only,McNemar_c_comparator_correct_only,McNemar_p_exact,McNemar_p_Holm,Holm_significant_0_05
TabRF,MLP,val_fpr_budget,198,0.6582470669427192,0.57190362194715,0.7372717508055854,79,25,1.0540017368882999e-07,8.432013895106399e-07,True
TabRF,LogReg,val_fpr_budget,198,0.375072463768116,0.27719945574078847,0.4768566215356238,57,23,0.00018311656412975104,0.0010986993847785062,True
TabRF,ScoreRF,val_fpr_budget,198,0.2797501801585396,0.1888203995159972,0.3742556171269756,56,19,2.242964215897027e-05,0.00015700749511279188,True
TabRF,HistGradientBoosting,val_fpr_budget,198,0.13758071459319854,0.07838344800663648,0.20225204185590534,30,10,0.0022214337732293643,0.011107168866146822,True
TabRF,XGBoost,val_fpr_budget,198,0.10929893904722288,0.05251778323077135,0.1706962633787645,28,11,0.009475304279476404,0.03790121711790562,True
TabRF,GradientBoosting,val_fpr_budget,198,0.09371980676328506,0.03289209279787815,0.1585012621093954,31,18,0.08543313315739454,0.17086626631478907,False
TabRF,ExtraTrees,val_fpr_budget,198,0.06420488385944023,0.01972252592023927,0.11402434298850027,16,5,0.02660369873046875,0.07981109619140625,False
TabRF,MetaRF,val_fpr_budget,198,0.046183574879227085,0.0,0.09397035630935273,18,9,0.12207812070846558,0.17086626631478907,False
