Model,ThresholdPolicy,Threshold,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP,FPR,F1_CI_low,F1_CI_high
TabRF,val_fpr_budget,0.021211756485705,0.7592572716539658,0.8399884853392664,0.7614678899082569,0.6859504132231405,0.7217391304347827,51,26,38,83,0.3376623376623376,0.6538461538461539,0.7848101265822784
MetaRF,val_fpr_budget,0.006,0.7031233229580337,0.802876592125549,0.7307692307692307,0.628099173553719,0.6755555555555556,49,28,45,76,0.3636363636363636,0.6009389671361502,0.7416733870967741
ExtraTrees,val_fpr_budget,0.0078798798798798,0.7085435225931094,0.8092473172951915,0.7346938775510204,0.5950413223140496,0.6575342465753424,51,26,49,72,0.3376623376623376,0.580952380952381,0.7280343903692285
GradientBoosting,val_fpr_budget,0.0016210089065601,0.7401524095738972,0.8225173657980054,0.7558139534883721,0.5371900826446281,0.6280193236714976,56,21,56,65,0.2727272727272727,0.5445026178010471,0.7012987012987013
XGBoost,val_fpr_budget,0.2490493059158325,0.6985081034667812,0.7900058454605081,0.7272727272727273,0.5289256198347108,0.6124401913875598,53,24,57,64,0.3116883116883117,0.5288461538461539,0.6864406779661016
HistGradientBoosting,val_fpr_budget,0.0002328351906716,0.6818718471611034,0.7983732886858987,0.7283950617283951,0.4876033057851239,0.5841584158415841,55,22,62,59,0.2857142857142857,0.4973544973544973,0.6605504587155964
ScoreRF,val_fpr_budget,0.0704542855142203,0.5800686916389396,0.685449692410616,0.6666666666666666,0.3305785123966942,0.4419889502762431,57,20,81,40,0.2597402597402597,0.348314606741573,0.5297297297297298
LogReg,val_fpr_budget,0.8115268041347478,0.7537834066759687,0.8249980529001806,0.896551724137931,0.2148760330578512,0.3466666666666667,74,3,95,26,0.0389610389610389,0.2461538461538461,0.4430379746835443
MLP,val_fpr_budget,0.9998656511306764,0.8053021358806483,0.849479143668696,0.8,0.0330578512396694,0.0634920634920634,76,1,117,4,0.0129870129870129,0.0151515151515151,0.1276680851063828
