ExcludedFile,Status,DevelopmentProcesses,DevelopmentPositives,DevelopmentNegatives,NFolds,ValidThresholdFits,ThresholdMedian,ThresholdQ1,ThresholdQ3,ThresholdMin,ThresholdMax,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP,FPR
labelled_2021may-ip-10-100-1-105.csv,ok,5364,6,5358,5,50,0.0028551998914931797,0.00285215221454688,0.004343122776723409,0.0027282707269342754,0.008537310311805884,0.48669099495545776,0.6320533248245584,0.6212121212121212,0.33884297520661155,0.4385026737967914,52,25,80,41,0.3246753246753247
labelled_2021may-ip-10-100-1-186.csv,ok,4458,29,4429,5,50,0.034011644410860284,0.02855481365272115,0.039088135650100594,0.01971899284237705,0.09347702747189374,0.7726199420414297,0.8463520175375028,0.8181818181818182,0.5950413223140496,0.6889952153110048,61,16,49,72,0.2077922077922078
labelled_2021may-ip-10-100-1-26.csv,ok,5514,29,5485,5,50,0.025505513016258318,0.021362004438041,0.028408340277976916,0.016893965387846613,0.042579131203884985,0.7923687882365568,0.8575934992009261,0.8163265306122449,0.6611570247933884,0.730593607305936,59,18,41,80,0.23376623376623376
labelled_2021may-ip-10-100-1-4.csv,ok,5154,23,5131,5,50,0.023964421903879204,0.02057904119281279,0.02689731366440301,0.013522263684039236,0.04473805787811686,0.7949983900397124,0.8517528112652499,0.7627118644067796,0.743801652892562,0.7531380753138075,49,28,31,90,0.36363636363636365
labelled_2021may-ip-10-100-1-95.csv,ok,4839,29,4810,5,50,0.02834850540541411,0.023539982168514797,0.03412070364440725,0.011323709377421672,0.048144690606654064,0.8184501448964261,0.8791548626188702,0.8070175438596491,0.7603305785123967,0.7829787234042553,55,22,29,92,0.2857142857142857
labelled_2021may-ubuntu.csv,ok,5665,29,5636,5,50,0.024036214226138844,0.021217637543394053,0.027101338981169384,0.016985077648013335,0.04794553077334384,0.7637651604593754,0.8432670068366909,0.7777777777777778,0.6363636363636364,0.7,55,22,44,77,0.2857142857142857
