Model,Family,Candidate,Fold,AP,Params
TabRF,RF,11,2,0.5995388669301713,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200}"
TabRF,RF,11,3,0.1501614859990819,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200}"
TabRF,RF,11,4,0.5847222222222221,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200}"
TabRF,RF,12,1,0.6270270270270271,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":200}"
TabRF,RF,12,2,0.5415332729286217,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":200}"
TabRF,RF,12,3,0.17085921325051762,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":200}"
TabRF,RF,12,4,0.38792191205984305,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":200}"
ScoreRF,RF,1,1,0.01621411730970446,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,1,2,0.25269038066107197,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,1,3,0.01263874185307382,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,1,4,0.21093249213603,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,2,1,0.017002869877844086,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":500}"
ScoreRF,RF,2,2,0.24823023459633534,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":500}"
ScoreRF,RF,2,3,0.013477153576163477,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":500}"
ScoreRF,RF,2,4,0.2126786609612485,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":500}"
ScoreRF,RF,3,1,0.01182262171962163,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":500}"
ScoreRF,RF,3,2,0.11097458678485496,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":500}"
ScoreRF,RF,3,3,0.01592180635242836,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":500}"
ScoreRF,RF,3,4,0.08023236402057363,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":500}"
ScoreRF,RF,4,1,0.01621411730970446,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,4,2,0.25269038066107197,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,4,3,0.01263874185307382,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,4,4,0.21093249213603,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,5,1,0.039074271947008264,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200}"
ScoreRF,RF,5,2,0.07649593056947057,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200}"
ScoreRF,RF,5,3,0.022871561591073786,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200}"
ScoreRF,RF,5,4,0.09407651410078595,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200}"
ScoreRF,RF,6,1,0.029621632464744942,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,6,2,0.06067340067340067,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,6,3,0.015643555484394424,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,6,4,0.08672329031790146,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,7,1,0.029621632464744942,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,7,2,0.06067340067340067,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,7,3,0.015643555484394424,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,7,4,0.08672329031790146,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,8,1,0.016266766892504572,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,8,2,0.25269038066107197,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,8,3,0.012561789178968396,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,8,4,0.21093249213603,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
ScoreRF,RF,9,1,0.016791062338436465,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}"
ScoreRF,RF,9,2,0.2457908102630822,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}"
ScoreRF,RF,9,3,0.012388938804033144,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}"
ScoreRF,RF,9,4,0.20524714203470681,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":200}"
ScoreRF,RF,10,1,0.012108882178319052,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,10,2,0.10225382517800334,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,10,3,0.01518559908390417,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,10,4,0.08074432013375578,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
ScoreRF,RF,11,1,0.042402613768405956,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ScoreRF,RF,11,2,0.11702492413455869,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ScoreRF,RF,11,3,0.014044168391994478,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ScoreRF,RF,11,4,0.20687830687830688,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
ScoreRF,RF,12,1,0.01029624735729387,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":200}"
ScoreRF,RF,12,2,0.08725591286178801,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":200}"
ScoreRF,RF,12,3,0.015722473941652024,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":200}"
ScoreRF,RF,12,4,0.07089947089947089,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":200}"
MetaRF,RF,1,1,0.6785714285714286,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":500}"
MetaRF,RF,1,2,0.4676923076923077,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":500}"
MetaRF,RF,1,3,0.06885261797026503,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":500}"
MetaRF,RF,1,4,0.5755555555555556,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":500}"
MetaRF,RF,2,1,0.5456363636363637,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
MetaRF,RF,2,2,0.44139041578576466,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
MetaRF,RF,2,3,0.0924299217731421,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
MetaRF,RF,2,4,0.4994079794079794,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":350}"
MetaRF,RF,3,1,0.5768115942028985,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":500}"
MetaRF,RF,3,2,0.47708604169675956,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":500}"
MetaRF,RF,3,3,0.20984405458089667,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":500}"
MetaRF,RF,3,4,0.48695652173913045,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":500}"
MetaRF,RF,4,1,0.46040100250626564,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":350}"
MetaRF,RF,4,2,0.44936843504853075,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":350}"
MetaRF,RF,4,3,0.06455478976631805,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":350}"
MetaRF,RF,4,4,0.5654761904761905,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":350}"
MetaRF,RF,5,1,0.4855555555555555,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":200}"
MetaRF,RF,5,2,0.45161964472309296,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":200}"
MetaRF,RF,5,3,0.07906565143407249,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":200}"
MetaRF,RF,5,4,0.5645682001614205,"{""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":200}"
MetaRF,RF,6,1,0.6333105335157319,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":350}"
