Model,N,Positives,Prevalence,ECE,Brier,Binning,ECE_CI_low,ECE_CI_high,Brier_CI_low,Brier_CI_high
ExtraTrees,198,121,0.6111111111111112,0.4582875397771233,0.42685767362920995,"10 equal-width bins on [0,1]",0.39734930719700085,0.5250463293235058,0.3663426016896047,0.48991430820157106
GradientBoosting,198,121,0.6111111111111112,0.5293127202113672,0.5073969524377171,"10 equal-width bins on [0,1]",0.46402132085100656,0.5964412239913641,0.4425319729546133,0.5741295418066786
HistGradientBoosting,198,121,0.6111111111111112,0.5094168539310393,0.49916399952371737,"10 equal-width bins on [0,1]",0.44384542482115236,0.5779291666868431,0.4328136466451336,0.5667041611964782
LogReg,198,121,0.6111111111111112,0.37300158196295463,0.34355222271205127,"10 equal-width bins on [0,1]",0.3142794159991009,0.43791619671702703,0.28714376174625045,0.40313865852013675
MLP,198,121,0.6111111111111112,0.2789444776609169,0.27119365011836294,"10 equal-width bins on [0,1]",0.22183056134833695,0.34283086161343396,0.21429265166220438,0.3317850635929893
MetaRF,198,121,0.6111111111111112,0.5108715760197516,0.4740693890957798,"10 equal-width bins on [0,1]",0.45053938648351716,0.5780154973669539,0.41507490380375656,0.5344900536867061
ScoreRF,198,121,0.6111111111111112,0.535994672927948,0.5226219410253797,"10 equal-width bins on [0,1]",0.4712798351142803,0.6050510685546453,0.4602420970612336,0.5843840679142985
TabRF,198,121,0.6111111111111112,0.49109960128992236,0.44579701851705456,"10 equal-width bins on [0,1]",0.4323272643927233,0.5568690843433909,0.3887300783913246,0.5049196114149971
XGBoost,198,121,0.6111111111111112,0.29997096712362364,0.3176906265567228,"10 equal-width bins on [0,1]",0.2476516607141645,0.3737473440784291,0.2663545287331924,0.3712761402945669
